calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,0,0,DEU,Peter,Seeded:&nbsp16,Gojowczyk,,6,3,4,0,0,SVN,Blaz,&nbsp,Kavcic,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,0,0,FRA,Maxime,&nbsp,Janvier,,7,6,0,0,0,ITA,Matteo,&nbsp,Viola,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,0,0,COL,Daniel Elahi,&nbsp,Galan,,3,6,3,0,0,TPE,Jason,Seeded:&nbsp19,Jung,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,0,0,CHL,Alejandro,&nbsp,Tabilo,,6,2,3,0,0,UKR,Sergiy,&nbsp,Stakhovsky,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,0,0,ARG,Federico,Seeded:&nbsp15,Coria,,6,1,6,0,0,LVA,Ernests,&nbsp,Gulbis,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,AUS,Aleksandar,&nbsp,Vukic,,4,3,0,0,0,DEU,Matthias,&nbsp,Bachinger,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,0,0,JPN,Hiroki,&nbsp,Moriya,,4,5,0,0,0,CAN,Steven,Seeded:&nbsp23,Diez,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,FRA,Quentin,&nbsp,Halys,,3,4,0,0,0,KOR,Duckhee,&nbsp,Lee,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,0,0,SVK,Andrej,Seeded:&nbsp5,Martin,,4,7,7,0,0,FRA,Mathias,&nbsp,Bourgue,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,0,6,0,0,ESP,Mario,&nbsp,Vilella Martinez,,6,6,4,0,0,ARG,Facundo,Seeded:&nbsp24,Bagnis,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,0,USA,Christopher,&nbsp,Eubanks,,6,1,0,0,0,SRB,Viktor,&nbsp,Troicki,,,Qualification
